raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,CMT,2011/2/1 4:13,2011/2/1 4:44,2,11.8,-73.99335,40.730247,-73.956669,40.716235,29.3,0
1,VTS,2011/2/1 6:50,2011/2/1 7:02,6,2.66,-73.993302,40.721962,-73.98035,40.754428,8.9,0
2,VTS,2011/2/1 6:51,2011/2/1 7:12,4,6.84,-73.896647,40.754488,-73.96058,40.807105,17.7,5.31
3,VTS,2011/2/1 7:17,2011/2/1 7:43,1,4.41,-73.95329,40.80716,-73.978505,40.757115,15.3,2.25
4,CMT,2011/2/1 7:20,2011/2/1 7:31,1,1.6,-73.964658,40.757757,-73.980928,40.750388,7.3,1.17
5,CMT,2011/2/1 7:57,2011/2/1 8:08,1,1.4,-73.987903,40.74279,-73.975747,40.760403,7.7,0
6,CMT,2011/2/1 8:16,2011/2/1 8:26,1,1.9,-73.952288,40.766507,-73.9705,40.752457,7.3,1.56
7,VTS,2011/2/1 8:30,2011/2/1 8:38,1,1.15,-73.985602,40.760877,-73.984885,40.748143,5.7,2
8,CMT,2011/2/1 9:30,2011/2/1 9:50,1,3.1,-73.967114,40.762633,-73.961783,40.79782,12.9,2.01
9,VTS,2011/2/1 9:33,2011/2/1 9:45,5,1.05,-73.98487,40.763862,-73.98487,40.763862,7.3,0
10,CMT,2011/2/1 9:38,2011/2/1 9:45,1,1.9,-73.96185,40.756884,-73.973182,40.744561,7.3,0
11,CMT,2011/2/1 10:02,2011/2/1 10:21,1,2.8,-73.94551,40.783625,-73.980512,40.774926,11.7,1.5
12,CMT,2011/2/1 10:23,2011/2/1 10:36,1,1.4,-73.972703,40.757815,-73.954989,40.764837,8.5,0
13,VTS,2011/2/1 10:43,2011/2/1 11:02,1,1.79,-74.010223,40.72152,-73.98343,40.714527,10.1,3
14,CMT,2011/2/1 10:57,2011/2/1 11:01,1,0.4,-74.000127,40.742896,-73.995965,40.748599,4.5,0
15,VTS,2011/2/1 11:05,2011/2/1 11:30,1,1.56,-73.997667,40.765307,-73.991255,40.7504,11.7,0
16,VTS,2011/2/1 11:06,2011/2/1 11:15,5,3.39,-73.983455,40.781372,-73.961653,40.811912,10.1,0
17,CMT,2011/2/1 11:12,2011/2/1 11:19,1,0.5,-73.95532,40.777745,-73.959793,40.773969,4.9,1
18,VTS,2011/2/1 11:13,2011/2/1 11:35,1,4.17,-74.012667,40.708043,-73.984725,40.67652,14.9,0
19,CMT,2011/2/1 11:18,2011/2/1 11:22,1,0.5,-73.999173,40.719941,-74.006501,40.717012,4.1,0
20,CMT,2011/2/1 11:51,2011/2/1 11:53,1,0.4,-73.952786,40.77228,-73.951563,40.77696,3.3,0
21,VTS,2011/2/1 12:02,2011/2/1 12:22,1,1.93,-73.981927,40.756283,-73.970873,40.761785,10.9,4
22,VTS,2011/2/1 12:07,2011/2/1 12:15,1,1.06,-73.96136,40.775835,-73.967517,40.76915,5.7,1
23,VTS,2011/2/1 12:16,2011/2/1 12:24,1,0.89,-73.982063,40.746247,-73.976797,40.756405,6.1,0
24,CMT,2011/2/1 12:22,2011/2/1 12:26,1,0.7,-74.004769,40.730353,-74.005782,40.738203,4.5,0
25,CMT,2011/2/1 14:01,2011/2/1 14:20,1,5.9,-74.014858,40.713923,-73.992642,40.743198,16.9,0
